Set,Model,Accuracy,Balanced_Accuracy,Precision,Recall,F1,Specificity,ROC_AUC,PR_AUC
Training,XGBoost,0.9896343459658391,0.9935953612920914,0.7723743859280774,0.9978544210911883,0.8707495589197551,0.9893363014929945,0.9997099883123189,0.9924978214746499
Validation,XGBoost,0.9646605931294522,0.7728593650462313,0.49567599610418733,0.5666261541183941,0.5287724766885288,0.9790925759740685,0.9045355396623087,0.5901152741806845
Test,XGBoost,0.964662850949978,0.7830104312115204,0.49583537481626655,0.5876887340301974,0.5378687217645496,0.9783321283928433,0.9111302896419436,0.6094871082984004

Training,XGBoost,0.9933879725900588,0.9936824696371815,0.9810265712938413,1.0,0.9125007258573534,0.9873649392743631,0.999719440186911,0.9926741415428649
Validation,XGBoost,0.9768460505074452,0.7779869724341547,0.871152052511345,0.5819842196754416,0.5679161197157969,0.9739897251928679,0.91585299027202,0.618161984070924
Test,XGBoost,0.9709147559860467,0.7793472235337124,0.5863024544734758,0.5733643050716222,0.5797612057154042,0.9853301419958026,0.9165694764490839,0.6268680331316024

Training,XGBoost,0.9951851977286325,0.9931489438662948,0.9529002523114671,0.9954507347349711,0.9325069336403804,0.9908471529976185,0.9996917139011738,0.9921007445205448
Validation,XGBoost,0.9766586514038,0.7713139993142673,0.7480174763929002,0.5612706075841323,0.6009259412286639,0.9813573910444022,0.9148758820709683,0.62740611421367
Test,XGBoost,0.97753920140888,0.7563821166336578,0.7636830102622577,0.5185830429732868,0.6177080931519483,0.9941811902940288,0.9220875517154091,0.6476836505853653

Training,XGBoost,0.9950841602601009,0.992960170946251,0.9702746188296146,0.9948538434519444,0.9303339215787686,0.9910664984405576,0.9996874661756827,0.9920045697803863
Validation,XGBoost,0.9776227407683363,0.7723787469162133,0.8086147918063948,0.5630772257439964,0.5991369065921633,0.9816802680884302,0.9168053415653572,0.6303080810179637
Test,XGBoost,0.9761845090933722,0.7636087670254281,0.7127385250128933,0.535036778939218,0.611233967271119,0.9921807551116383,0.9203188389412298,0.6434191363197626
